instance,2007_INDU-minisat-sat07,2007_INDU-mxc,2007_INDU-picosat-535
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/blocks-blocks-37-1.140-NOTKNOWN.cnf,SAT:44.1893:44.1893:5000.0:0,SAT:2582.54:2582.54:5000.0:0,SAT:602.097:602.097:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/grid-strips-grid-y-3.045-NOTKNOWN.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/grid-strips-grid-y-3.055-NOTKNOWN.cnf,SAT:2194.39:2194.39:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1623.67:1623.67:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/grid-strips-grid-y-3.065-SAT.cnf,SAT:3923.21:3923.21:5000.0:0,SAT:2027.3:2027.3:5000.0:0,SAT:3980.69:3980.69:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/grid-strips-grid-y-4.035-NOTKNOWN.cnf,SAT:222.758:222.758:5000.0:0,SAT:2976.0:2976.0:5000.0:0,SAT:361.557:361.557:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/grid-strips-grid-y-4.045-SAT.cnf,SAT:596.263:596.263:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:731.651:731.651:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.075-NOTKNOWN.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1117.1:1117.1:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.085-SAT.cnf,SAT:151.547:151.547:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:107.219:107.219:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.075-NOTKNOWN.cnf,CRASHED:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:401.084:401.084:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.020-NOTKNOWN.cnf,SAT:863.926:863.926:5000.0:0,SAT:1512.9:1512.9:5000.0:0,SAT:276.549:276.549:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.030-NOTKNOWN.cnf,SAT:2032.72:2032.72:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:4839.48:4839.48:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.040-NOTKNOWN.cnf,SAT:2344.4:2344.4:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.050-NOTKNOWN.cnf,CRASHED:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1999.65:1999.65:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/transport-transport-city-sequential-35nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.020-NOTKNOWN.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
