instance,2009_INDU-clasp-1.2.0-SAT09,2009_INDU-kw,2009_INDU-manysat,2009_INDU-minisat,2009_INDU-minisat-cumrp,2009_INDU-minisat09z,2009_INDU-precosat-236-3e7a3f8-090322
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbsharemodes_vc6201-tseitin.cnf,SAT:2.09468:2.09468:5000.0:0,SAT:4.50531:4.50531:5000.0:0,SAT:8.89865:8.89865:5000.0:0,SAT:1.36679:1.36679:5000.0:0,SAT:2.08868:2.08868:5000.0:0,SAT:2.84157:2.84157:5000.0:0,SAT:4.09238:4.09238:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbsharemodes_vc7701-tseitin.cnf,SAT:6.92295:6.92295:5000.0:0,SAT:12.0692:12.0692:5000.0:0,SAT:15.0367:15.0367:5000.0:0,SAT:5.59515:5.59515:5000.0:0,SAT:10.5584:10.5584:5000.0:0,SAT:3.91341:3.91341:5000.0:0,SAT:11.7952:11.7952:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-innfeed_innfeed_vc36608-tseitin.cnf,SAT:0.863867:0.863867:5000.0:0,SAT:3.02954:3.02954:5000.0:0,SAT:4.03339:4.03339:5000.0:0,SAT:0.689894:0.689894:5000.0:0,SAT:0.640902:0.640902:5000.0:0,CRASHED:5000.0:5000.0:5000.0:0,SAT:1.63675:1.63675:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-innfeed_innfeed_vc37051-tseitin.cnf,SAT:1.36579:1.36579:5000.0:0,SAT:3.15052:3.15052:5000.0:0,SAT:4.08338:4.08338:5000.0:0,SAT:1.06684:1.06684:5000.0:0,SAT:0.728888:0.728888:5000.0:0,SAT:0.487925:0.487925:5000.0:0,SAT:2.37064:2.37064:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-src_wget_vc17912-tseitin.cnf,SAT:3.17652:3.17652:5000.0:0,SAT:7.2249:7.2249:5000.0:0,SAT:11.2133:11.2133:5000.0:0,SAT:2.80657:2.80657:5000.0:0,SAT:5.43917:5.43917:5000.0:0,SAT:8.63569:8.63569:5000.0:0,SAT:10.7634:10.7634:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_3_keyfind_2.cnf,SAT:1382.39:1382.39:5000.0:0,SAT:935.991:935.991:5000.0:0,SAT:1963.75:1963.75:5000.0:0,SAT:818.102:818.102:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1494.89:1494.89:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/kullmann/AES/Benchmarks/64/aes_64_1_keyfind_2.cnf,SAT:166.091:166.091:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1194.33:1194.33:5000.0:0,SAT:2450.33:2450.33:5000.0:0,SAT:1355.63:1355.63:5000.0:0,SAT:3413.64:3413.64:5000.0:0,SAT:1261.55:1261.55:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/leberre/2dimensionalstrippacking/E03X18.cnf,SAT:21.2398:21.2398:5000.0:0,SAT:21.9937:21.9937:5000.0:0,SAT:31.0423:31.0423:5000.0:0,SAT:15.2057:15.2057:5000.0:0,SAT:39.776:39.776:5000.0:0,SAT:38.5701:38.5701:5000.0:0,SAT:10.1994:10.1994:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/leberre/2dimensionalstrippacking/E04F17.cnf,SAT:2.50862:2.50862:5000.0:0,SAT:1.44678:1.44678:5000.0:0,SAT:24.5893:24.5893:5000.0:0,SAT:8.22575:8.22575:5000.0:0,SAT:17.8613:17.8613:5000.0:0,SAT:11.0483:11.0483:5000.0:0,SAT:3.2455:3.2455:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.130-NOTKNOWN.cnf,SAT:65.1611:65.1611:5000.0:0,SAT:916.345:916.345:5000.0:0,SAT:286.043:286.043:5000.0:0,SAT:18.5262:18.5262:5000.0:0,SAT:33.031:33.031:5000.0:0,SAT:48.2887:48.2887:5000.0:0,SAT:180.617:180.617:5000.0:0
