instance,2011_INDU-LR_GL_SHR,2011_INDU-RestartSAT,2011_INDU-cir_minisat,2011_INDU-contrasat,2011_INDU-ebminisat,2011_INDU-glueminisat,2011_INDU-minisat,2011_INDU-minisat-2.2.0-agile-26,2011_INDU-rcl
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/fuhs/medium/AProVE07-04.cnf,SAT:265.184:265.184:5000.0:0,SAT:73.4898:73.4898:5000.0:0,SAT:45.757:45.757:5000.0:0,SAT:40.1419:40.1419:5000.0:0,SAT:42.6835:42.6835:5000.0:0,SAT:27.9797:27.9797:5000.0:0,SAT:42.4825:42.4825:5000.0:0,SAT:56.2844:56.2844:5000.0:0,SAT:62.1046:62.1046:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/fuhs/medium/AProVE07-06.cnf,SAT:175.089:175.089:5000.0:0,SAT:38.7751:38.7751:5000.0:0,SAT:47.5438:47.5438:5000.0:0,SAT:103.983:103.983:5000.0:0,SAT:44.2043:44.2043:5000.0:0,SAT:23.9834:23.9834:5000.0:0,SAT:45.918:45.918:5000.0:0,SAT:58.7811:58.7811:5000.0:0,SAT:96.0744:96.0744:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/fuhs/medium/AProVE07-09.cnf,SAT:146.606:146.606:5000.0:0,SAT:128.112:128.112:5000.0:0,SAT:954.759:954.759:5000.0:0,SAT:995.007:995.007:5000.0:0,SAT:883.413:883.413:5000.0:0,SAT:69.3075:69.3075:5000.0:0,SAT:909.08:909.08:5000.0:0,SAT:306.485:306.485:5000.0:0,SAT:278.302:278.302:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/fuhs/medium/AProVE07-11.cnf,SAT:30.3694:30.3694:5000.0:0,SAT:21.9777:21.9777:5000.0:0,SAT:23.8584:23.8584:5000.0:0,SAT:24.9902:24.9902:5000.0:0,SAT:19.989:19.989:5000.0:0,SAT:22.2456:22.2456:5000.0:0,SAT:24.4463:24.4463:5000.0:0,SAT:18.0353:18.0353:5000.0:0,SAT:91.7151:91.7151:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/fuhs/medium/AProVE07-20.cnf,SAT:503.608:503.608:5000.0:0,SAT:104.064:104.064:5000.0:0,SAT:58.944:58.944:5000.0:0,SAT:85.356:85.356:5000.0:0,SAT:57.0733:57.0733:5000.0:0,SAT:107.998:107.998:5000.0:0,SAT:56.7494:56.7494:5000.0:0,SAT:49.0245:49.0245:5000.0:0,SAT:79.4369:79.4369:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/grieu/vmpc_26.cnf,SAT:35.8885:35.8885:5000.0:0,SAT:19.3901:19.3901:5000.0:0,SAT:269.825:269.825:5000.0:0,SAT:176.371:176.371:5000.0:0,SAT:152.058:152.058:5000.0:0,SAT:43.3754:43.3754:5000.0:0,SAT:165.033:165.033:5000.0:0,SAT:31.8882:31.8882:5000.0:0,SAT:5.59515:5.59515:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/grieu/vmpc_29.cnf,SAT:375.708:375.708:5000.0:0,SAT:869.725:869.725:5000.0:0,SAT:1581.19:1581.19:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:2162.67:2162.67:5000.0:0,SAT:169.912:169.912:5000.0:0,SAT:1914.85:1914.85:5000.0:0,SAT:1227.76:1227.76:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/grieu/vmpc_30.cnf,SAT:735.434:735.434:5000.0:0,SAT:14.1368:14.1368:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1252.37:1252.37:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:396.87:396.87:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:406.946:406.946:5000.0:0,SAT:4273.52:4273.52:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/grieu/vmpc_33.cnf,SAT:132.599:132.599:5000.0:0,SAT:140.119:140.119:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/grieu/vmpc_34.cnf,SAT:4082.39:4082.39:5000.0:0,SAT:2219.11:2219.11:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
